Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,157015,7305,0,149710,104,4.65,0.0,0.0,38928341,4033.0,156649,366,0.23
Albania,197167,3053,0,194114,556,1.55,0.0,0.0,2877800,68513.0,193856,3311,1.71
Algeria,209283,6030,0,203253,172,2.88,0.0,0.0,43851043,4773.0,208245,1038,0.5
Andorra,16342,130,0,16212,43,0.8,0.0,0.0,77265,211506.0,15929,413,2.59
Angola,65061,1730,0,63331,28,2.66,0.0,0.0,32866268,1980.0,64940,121,0.19
Antigua and Barbuda,4138,117,0,4021,2,2.83,0.0,0.0,97928,42256.0,4122,16,0.39
Argentina,5317633,116415,0,5201218,1644,2.19,0.0,0.0,45195777,117658.0,5308781,8852,0.17
Armenia,334878,7356,0,327522,531,2.2,0.0,0.0,2963234,113011.0,329913,4965,1.5
Australia,202115,1973,0,200142,1464,0.98,0.0,0.0,50919400,3969.0,192845,9270,4.81
Austria,1079932,12114,0,1067818,9513,1.12,0.0,0.0,9006400,119907.0,981904,98028,9.98
Azerbaijan,576703,7686,0,569017,1904,1.33,0.0,0.0,10139175,56879.0,563940,12763,2.26
Bahamas,22665,671,0,21994,0,2.96,0.0,0.0,393248,57635.0,22613,52,0.23
Bahrain,277444,1394,0,276050,23,0.5,0.0,0.0,1701583,163051.0,277262,182,0.07
Bangladesh,1574636,27958,0,1546678,284,1.78,0.0,0.0,164689383,9561.0,1572948,1688,0.11
Barbados,24234,213,0,24021,290,0.88,0.0,0.0,287371,84330.0,22639,1595,7.05
Belarus,643372,4979,0,638393,1453,0.77,0.0,0.0,9449321,68087.0,631025,12347,1.96
Belgium,1635675,26705,0,1608970,12115,1.63,0.0,0.0,22985282,71162.0,1524862,110813,7.27
Belize,29861,566,0,29295,179,1.9,0.0,0.0,397621,75099.0,29269,592,2.02
Benin,24846,161,0,24685,0,0.65,0.0,0.0,12123198,2049.0,24833,13,0.05
Bhutan,2633,3,0,2630,1,0.11,0.0,0.0,771612,3412.0,2625,8,0.3
Bolivia,531428,19096,0,512332,1059,3.59,0.0,0.0,11673029,45526.0,525187,6241,1.19
Bosnia and Herzegovina,270498,12338,0,258160,594,4.56,0.0,0.0,3280815,82448.0,265942,4556,1.71
Botswana,194652,2416,0,192236,0,1.24,0.0,0.0,2351625,82773.0,194129,523,0.27
Brazil,22030182,613066,0,21417116,10312,2.78,0.0,0.0,422706534,52117.0,21965684,64498,0.29
Brunei,14701,96,0,14605,71,0.65,0.0,0.0,437483,33604.0,14291,410,2.87
Bulgaria,679983,27658,0,652325,3233,4.07,0.0,0.0,6948445,97861.0,662739,17244,2.6
Burkina Faso,15514,265,0,15249,0,1.71,0.0,0.0,20903278,742.0,15514,0,0.0
Burma,519102,19041,0,500061,631,3.67,0.0,0.0,54409800,9541.0,514716,4386,0.85
Burundi,20351,38,0,20313,2,0.19,0.0,0.0,11890781,1711.0,20282,69,0.34
