date,location,daily_vaccinations
1/12/21,Alabama,
1/13/21,Alabama,5906
1/14/21,Alabama,7083
1/15/21,Alabama,7478
1/16/21,Alabama,7498
1/17/21,Alabama,7509
1/18/21,Alabama,7517
1/19/21,Alabama,7523
1/20/21,Alabama,7880
1/21/21,Alabama,10517
1/22/21,Alabama,14107
1/23/21,Alabama,16202
1/24/21,Alabama,18294
1/25/21,Alabama,18196
1/26/21,Alabama,17738
1/27/21,Alabama,18178
1/28/21,Alabama,16153
1/29/21,Alabama,14514
1/30/21,Alabama,17271
1/31/21,Alabama,15748
2/1/21,Alabama,15381
2/2/21,Alabama,16703
2/3/21,Alabama,17414
2/4/21,Alabama,18491
2/5/21,Alabama,18526
2/6/21,Alabama,16105
2/7/21,Alabama,15480
2/8/21,Alabama,15622
2/9/21,Alabama,17012
2/10/21,Alabama,18209
2/11/21,Alabama,19258
2/12/21,Alabama,20074
2/13/21,Alabama,20855
2/14/21,Alabama,21417
2/15/21,Alabama,22405
2/16/21,Alabama,20816
2/17/21,Alabama,19174
2/18/21,Alabama,18400
2/19/21,Alabama,24002
2/20/21,Alabama,25111
2/21/21,Alabama,25194
2/22/21,Alabama,24164
2/23/21,Alabama,25489
2/24/21,Alabama,27098
2/25/21,Alabama,27531
2/26/21,Alabama,22104
2/27/21,Alabama,22022
2/28/21,Alabama,21984
3/1/21,Alabama,22111
3/2/21,Alabama,22436
3/3/21,Alabama,22904
3/4/21,Alabama,23916
3/5/21,Alabama,24388
3/6/21,Alabama,24087
3/7/21,Alabama,23947
3/8/21,Alabama,24040
3/9/21,Alabama,24118
3/10/21,Alabama,24827
3/11/21,Alabama,25376
3/12/21,Alabama,26375
3/13/21,Alabama,26935
3/14/21,Alabama,26926
3/15/21,Alabama,27106
3/16/21,Alabama,27331
3/17/21,Alabama,27167
3/18/21,Alabama,25752
3/19/21,Alabama,25356
3/20/21,Alabama,24649
3/21/21,Alabama,24865
3/22/21,Alabama,24693
3/23/21,Alabama,25307
3/24/21,Alabama,25490
3/25/21,Alabama,27004
3/26/21,Alabama,26387
3/27/21,Alabama,26439
3/28/21,Alabama,26634
3/29/21,Alabama,26759
3/30/21,Alabama,26885
3/31/21,Alabama,26617
4/1/21,Alabama,27555
4/2/21,Alabama,28865
4/3/21,Alabama,28769
4/4/21,Alabama,28533
4/5/21,Alabama,28325
4/6/21,Alabama,28468
4/7/21,Alabama,29498
4/8/21,Alabama,29195
4/9/21,Alabama,29696
4/10/21,Alabama,31155
4/11/21,Alabama,31967
4/12/21,Alabama,32519
4/13/21,Alabama,32914
4/14/21,Alabama,33381
4/15/21,Alabama,33007
4/16/21,Alabama,32034
4/17/21,Alabama,30766
4/18/21,Alabama,29953
4/19/21,Alabama,29296
4/20/21,Alabama,28635
4/21/21,Alabama,27377
4/22/21,Alabama,26702
4/23/21,Alabama,26294
4/24/21,Alabama,25832
4/25/21,Alabama,25590
4/26/21,Alabama,25809
4/27/21,Alabama,24561
4/28/21,Alabama,23898
4/29/21,Alabama,23662
4/30/21,Alabama,23076
5/1/21,Alabama,22271
5/2/21,Alabama,21615
5/3/21,Alabama,21299
5/4/21,Alabama,20711
5/5/21,Alabama,20444
5/6/21,Alabama,16178
5/7/21,Alabama,19313
5/8/21,Alabama,20088
1/12/21,Alaska,
1/13/21,Alaska,2842
1/14/21,Alaska,3379
1/15/21,Alaska,4400
1/16/21,Alaska,4381
1/17/21,Alaska,4369
1/18/21,Alaska,4362
1/19/21,Alaska,4356
1/20/21,Alaska,4230
1/21/21,Alaska,4187
1/22/21,Alaska,4580
1/23/21,Alaska,4997
1/24/21,Alaska,5225
1/25/21,Alaska,5003
1/26/21,Alaska,4545
1/27/21,Alaska,4758
1/28/21,Alaska,4850
1/29/21,Alaska,4186
1/30/21,Alaska,3846
1/31/21,Alaska,3619
2/1/21,Alaska,3570
2/2/21,Alaska,3613
2/3/21,Alaska,3453
2/4/21,Alaska,3440
2/5/21,Alaska,3372
2/6/21,Alaska,3411
2/7/21,Alaska,3785
2/8/21,Alaska,4131
2/9/21,Alaska,4204
2/10/21,Alaska,4356
2/11/21,Alaska,4620
2/12/21,Alaska,4776
2/13/21,Alaska,5142
2/14/21,Alaska,5393
2/15/21,Alaska,5212
2/16/21,Alaska,5448
2/17/21,Alaska,5337
2/18/21,Alaska,5268
2/19/21,Alaska,6970
2/20/21,Alaska,7466
2/21/21,Alaska,7330
2/22/21,Alaska,7266
2/23/21,Alaska,6988
2/24/21,Alaska,7148
2/25/21,Alaska,7201
2/26/21,Alaska,5444
2/27/21,Alaska,4591
2/28/21,Alaska,4229
3/1/21,Alaska,4304
3/2/21,Alaska,4288
3/3/21,Alaska,4243
3/4/21,Alaska,3905
3/5/21,Alaska,3876
3/6/21,Alaska,4155
3/7/21,Alaska,4329
3/8/21,Alaska,4248
3/9/21,Alaska,4678
3/10/21,Alaska,4917
3/11/21,Alaska,5211
3/12/21,Alaska,5294
3/13/21,Alaska,5092
3/14/21,Alaska,5473
3/15/21,Alaska,5571
3/16/21,Alaska,5280
3/17/21,Alaska,5460
3/18/21,Alaska,5390
3/19/21,Alaska,5361
3/20/21,Alaska,5490
3/21/21,Alaska,5583
3/22/21,Alaska,5493
3/23/21,Alaska,5273
3/24/21,Alaska,4758
3/25/21,Alaska,4773
3/26/21,Alaska,4817
3/27/21,Alaska,4707
3/28/21,Alaska,4152
3/29/21,Alaska,3956
3/30/21,Alaska,3969
3/31/21,Alaska,3991
4/1/21,Alaska,3861
4/2/21,Alaska,3702
4/3/21,Alaska,3513
4/4/21,Alaska,3865
4/5/21,Alaska,4022
4/6/21,Alaska,4050
4/7/21,Alaska,4207
4/8/21,Alaska,4537
4/9/21,Alaska,4664
4/10/21,Alaska,5069
4/11/21,Alaska,4676
4/12/21,Alaska,4831
4/13/21,Alaska,9046
4/14/21,Alaska,9009
4/15/21,Alaska,8075
4/16/21,Alaska,8075
4/17/21,Alaska,7732
4/18/21,Alaska,7745
4/19/21,Alaska,7467
4/20/21,Alaska,3288
4/21/21,Alaska,3574
4/22/21,Alaska,4331
4/23/21,Alaska,4098
4/24/21,Alaska,3874
4/25/21,Alaska,3447
4/26/21,Alaska,3292
4/27/21,Alaska,3223
4/28/21,Alaska,2645
4/29/21,Alaska,2913
4/30/21,Alaska,2749
5/1/21,Alaska,3386
5/2/21,Alaska,3259
5/3/21,Alaska,3187
5/4/21,Alaska,3084
5/5/21,Alaska,3064
5/6/21,Alaska,2358
5/7/21,Alaska,2321
5/8/21,Alaska,1523
1/12/21,American Samoa,
1/13/21,American Samoa,453
1/14/21,American Samoa,424
1/15/21,American Samoa,586
1/16/21,American Samoa,494
1/17/21,American Samoa,439
1/18/21,American Samoa,402
1/19/21,American Samoa,376
1/20/21,American Samoa,391
1/21/21,American Samoa,385
1/22/21,American Samoa,384
1/23/21,American Samoa,390
1/24/21,American Samoa,532
1/25/21,American Samoa,501
1/26/21,American Samoa,508
1/27/21,American Samoa,539
1/28/21,American Samoa,489
1/29/21,American Samoa,479
1/30/21,American Samoa,442
1/31/21,American Samoa,268
2/1/21,American Samoa,388
2/2/21,American Samoa,349
2/3/21,American Samoa,283
2/4/21,American Samoa,310
2/5/21,American Samoa,301
2/6/21,American Samoa,333
2/7/21,American Samoa,333
2/8/21,American Samoa,214
2/9/21,American Samoa,274
2/10/21,American Samoa,322
2/11/21,American Samoa,322
2/12/21,American Samoa,429
2/13/21,American Samoa,446
2/14/21,American Samoa,446
2/15/21,American Samoa,498
2/16/21,American Samoa,490
2/17/21,American Samoa,422
2/18/21,American Samoa,394
2/19/21,American Samoa,177
2/20/21,American Samoa,337
2/21/21,American Samoa,485
2/22/21,American Samoa,439
2/23/21,American Samoa,387
2/24/21,American Samoa,496
2/25/21,American Samoa,496
2/26/21,American Samoa,581
2/27/21,American Samoa,371
2/28/21,American Samoa,223
3/1/21,American Samoa,217
3/2/21,American Samoa,323
3/3/21,American Samoa,191
3/4/21,American Samoa,269
3/5/21,American Samoa,184
3/6/21,American Samoa,184
3/7/21,American Samoa,184
3/8/21,American Samoa,184
3/9/21,American Samoa,78
3/10/21,American Samoa,374
3/11/21,American Samoa,296
3/12/21,American Samoa,296
3/13/21,American Samoa,296
3/14/21,American Samoa,296
3/15/21,American Samoa,382
3/16/21,American Samoa,382
3/17/21,American Samoa,86
3/18/21,American Samoa,86
3/19/21,American Samoa,86
3/20/21,American Samoa,86
3/21/21,American Samoa,86
3/22/21,American Samoa,388
3/23/21,American Samoa,423
3/24/21,American Samoa,505
3/25/21,American Samoa,509
3/26/21,American Samoa,600
3/27/21,American Samoa,604
3/28/21,American Samoa,604
3/29/21,American Samoa,216
3/30/21,American Samoa,259
3/31/21,American Samoa,476
4/1/21,American Samoa,472
4/2/21,American Samoa,465
4/3/21,American Samoa,462
4/4/21,American Samoa,464
4/5/21,American Samoa,464
4/6/21,American Samoa,385
4/7/21,American Samoa,241
4/8/21,American Samoa,248
4/9/21,American Samoa,255
4/10/21,American Samoa,255
4/11/21,American Samoa,341
4/12/21,American Samoa,341
4/13/21,American Samoa,341
4/14/21,American Samoa,276
4/15/21,American Samoa,269
4/16/21,American Samoa,347
4/17/21,American Samoa,347
4/18/21,American Samoa,258
4/19/21,American Samoa,258
4/20/21,American Samoa,258
4/21/21,American Samoa,187
4/22/21,American Samoa,187
4/23/21,American Samoa,180
4/24/21,American Samoa,180
4/25/21,American Samoa,231
4/26/21,American Samoa,231
4/27/21,American Samoa,262
4/28/21,American Samoa,245
4/29/21,American Samoa,321
4/30/21,American Samoa,216
5/1/21,American Samoa,216
5/2/21,American Samoa,165
5/3/21,American Samoa,165
5/4/21,American Samoa,188
5/5/21,American Samoa,209
5/6/21,American Samoa,133
5/7/21,American Samoa,132
5/8/21,American Samoa,132
1/12/21,Arizona,
1/13/21,Arizona,13390
1/14/21,Arizona,16155
1/15/21,Arizona,18577
1/16/21,Arizona,18257
1/17/21,Arizona,18065
1/18/21,Arizona,17937
1/19/21,Arizona,17846
1/20/21,Arizona,18163
1/21/21,Arizona,18605
1/22/21,Arizona,18895
1/23/21,Arizona,20939
1/24/21,Arizona,22706
1/25/21,Arizona,23526
1/26/21,Arizona,23517
1/27/21,Arizona,25196
1/28/21,Arizona,26179
1/29/21,Arizona,27393
1/30/21,Arizona,28059
1/31/21,Arizona,29069
2/1/21,Arizona,29564
2/2/21,Arizona,28681
2/3/21,Arizona,28255
2/4/21,Arizona,28424
2/5/21,Arizona,28337
2/6/21,Arizona,29917
2/7/21,Arizona,30732
2/8/21,Arizona,31487
2/9/21,Arizona,33164
2/10/21,Arizona,34531
2/11/21,Arizona,36494
2/12/21,Arizona,38691
2/13/21,Arizona,39176
2/14/21,Arizona,39989
2/15/21,Arizona,40122
2/16/21,Arizona,41539
2/17/21,Arizona,38163
2/18/21,Arizona,37314
2/19/21,Arizona,55158
2/20/21,Arizona,54896
2/21/21,Arizona,54360
2/22/21,Arizona,54958
2/23/21,Arizona,53030
2/24/21,Arizona,55863
2/25/21,Arizona,57825
2/26/21,Arizona,42127
2/27/21,Arizona,43278
2/28/21,Arizona,46110
3/1/21,Arizona,48955
3/2/21,Arizona,51993
3/3/21,Arizona,53580
3/4/21,Arizona,53198
3/5/21,Arizona,52476
3/6/21,Arizona,45071
3/7/21,Arizona,52879
3/8/21,Arizona,52280
3/9/21,Arizona,50873
3/10/21,Arizona,51794
3/11/21,Arizona,52921
3/12/21,Arizona,54235
3/13/21,Arizona,62981
3/14/21,Arizona,56433
3/15/21,Arizona,55772
3/16/21,Arizona,58490
3/17/21,Arizona,57709
3/18/21,Arizona,57866
3/19/21,Arizona,48949
3/20/21,Arizona,48762
3/21/21,Arizona,47913
3/22/21,Arizona,48184
3/23/21,Arizona,45042
3/24/21,Arizona,44646
3/25/21,Arizona,50166
3/26/21,Arizona,58308
3/27/21,Arizona,59086
3/28/21,Arizona,59378
3/29/21,Arizona,60022
3/30/21,Arizona,61260
3/31/21,Arizona,63074
4/1/21,Arizona,57997
4/2/21,Arizona,58912
4/3/21,Arizona,59149
4/4/21,Arizona,58794
4/5/21,Arizona,58482
4/6/21,Arizona,58525
4/7/21,Arizona,57644
4/8/21,Arizona,55514
4/9/21,Arizona,56308
4/10/21,Arizona,57204
4/11/21,Arizona,57826
4/12/21,Arizona,56643
4/13/21,Arizona,56417
4/14/21,Arizona,56531
4/15/21,Arizona,57918
4/16/21,Arizona,55841
4/17/21,Arizona,55226
4/18/21,Arizona,54391
4/19/21,Arizona,54470
4/20/21,Arizona,53921
4/21/21,Arizona,54448
4/22/21,Arizona,54571
4/23/21,Arizona,54802
4/24/21,Arizona,53506
4/25/21,Arizona,52397
4/26/21,Arizona,51720
4/27/21,Arizona,51362
4/28/21,Arizona,49861
4/29/21,Arizona,47964
4/30/21,Arizona,45756
5/1/21,Arizona,44097
5/2/21,Arizona,41448
5/3/21,Arizona,37787
5/4/21,Arizona,36127
5/5/21,Arizona,33654
5/6/21,Arizona,33626
5/7/21,Arizona,32954
5/8/21,Arizona,30521
1/12/21,Arkansas,
1/13/21,Arkansas,53975
1/14/21,Arkansas,33718
1/15/21,Arkansas,25820
1/16/21,Arkansas,20865
1/17/21,Arkansas,17892
1/18/21,Arkansas,15910
1/19/21,Arkansas,14494
1/20/21,Arkansas,11208
1/21/21,Arkansas,9285
1/22/21,Arkansas,11905
1/23/21,Arkansas,11048
1/24/21,Arkansas,11986
1/25/21,Arkansas,12108
1/26/21,Arkansas,13422
1/27/21,Arkansas,11359
1/28/21,Arkansas,11359
1/29/21,Arkansas,9760
1/30/21,Arkansas,12425
1/31/21,Arkansas,12793
2/1/21,Arkansas,12876
2/2/21,Arkansas,11169
2/3/21,Arkansas,9946
2/4/21,Arkansas,12200
2/5/21,Arkansas,11597
2/6/21,Arkansas,12289
2/7/21,Arkansas,12807
2/8/21,Arkansas,12919
2/9/21,Arkansas,12808
2/10/21,Arkansas,13658
2/11/21,Arkansas,13225
2/12/21,Arkansas,13710
2/13/21,Arkansas,11816
2/14/21,Arkansas,11299
2/15/21,Arkansas,10903
2/16/21,Arkansas,11330
2/17/21,Arkansas,9842
2/18/21,Arkansas,8562
2/19/21,Arkansas,10018
2/20/21,Arkansas,9074
2/21/21,Arkansas,7990
2/22/21,Arkansas,8204
